Drug1,Drug2,Cell_Line,Senstivity,Synergy,Fold
GELDANAMYCIN,TOPOTECAN,A427,39.6424,21.65186525,3
GELDANAMYCIN,TOPOTECAN,A375,34.60725,-16.3920222,3
GELDANAMYCIN,TOPOTECAN,A2780,43.24125,-1.700187674,3
GELDANAMYCIN,TOPOTECAN,A2058,44.22495,22.38658565,3
GELDANAMYCIN,SORAFENIB,ZR751,34.7717,-17.09555794,2
GELDANAMYCIN,SORAFENIB,UWB1289,34.53795,2.143060303,2
GELDANAMYCIN,SORAFENIB,UACC62,42.35735,2.913484763,2
GELDANAMYCIN,SORAFENIB,T47D,18.5172,9.062147419,2
GELDANAMYCIN,SORAFENIB,SKOV3,38.11045,-3.190399936,2
GELDANAMYCIN,SORAFENIB,SKMEL30,28.21745,-1.793855383,2
GELDANAMYCIN,SORAFENIB,RPMI7951,36.6234,-11.75896295,2
GELDANAMYCIN,SORAFENIB,RKO,36.74785,-4.608155422,2
GELDANAMYCIN,SORAFENIB,PA1,33.01545,14.08240543,2
GELDANAMYCIN,SORAFENIB,OVCAR3,9.0508,-32.68314045,2
GELDANAMYCIN,SORAFENIB,OV90,40.5991,-5.189856146,2
GELDANAMYCIN,SORAFENIB,NCIH520,27.65165,4.281510848,2
GELDANAMYCIN,SORAFENIB,NCIH460,42.0074,-1.452244971,2
GELDANAMYCIN,SORAFENIB,NCIH23,37.65525,-0.314813933,2
GELDANAMYCIN,SORAFENIB,NCIH2122,43.3925,0.855386232,2
GELDANAMYCIN,SORAFENIB,MDAMB436,24.52575,-17.59525207,2
GELDANAMYCIN,SORAFENIB,LNCAP,32.12995,-6.892392724,2
GELDANAMYCIN,SORAFENIB,KPL1,30.7541,-4.067597152,2
GELDANAMYCIN,SORAFENIB,HT29,42.691,-4.474906683,2
GELDANAMYCIN,SORAFENIB,HCT116,35.6771,2.196986229,2
GELDANAMYCIN,SORAFENIB,EFM192B,24.34305,-4.707884807,2
GELDANAMYCIN,SORAFENIB,DLD1,38.1031,13.51234592,2
GELDANAMYCIN,SORAFENIB,CAOV3,37.5234,-4.477458483,2
GELDANAMYCIN,SORAFENIB,A427,38.3331,4.666916613,2
GELDANAMYCIN,SORAFENIB,A2780,39.3036,-8.927535094,2
GELDANAMYCIN,SORAFENIB,A2058,39.61495,8.806885228,2
GELDANAMYCIN,SN-38,ZR751,24.44765,-8.55058823,1
GELDANAMYCIN,SN-38,VCAP,1.17995,-0.826332506,1
GELDANAMYCIN,SN-38,UWB1289,25.02865,4.971282644,1
GELDANAMYCIN,SN-38,UACC62,28.32375,-7.316655441,1
GELDANAMYCIN,SN-38,T47D,2.4645,10.77505243,1
GELDANAMYCIN,SN-38,SW837,23.66735,6.252908349,1
GELDANAMYCIN,SN-38,SW620,34.5881,-1.370646685,1
GELDANAMYCIN,SN-38,SKMES1,27.07645,17.6342613,1
GELDANAMYCIN,SN-38,SKMEL30,26.34285,38.26844823,1
GELDANAMYCIN,SN-38,RPMI7951,39.1202,-2.070346623,1
GELDANAMYCIN,SN-38,RKO,26.4754,11.62779139,1
GELDANAMYCIN,SN-38,OV90,34.4813,-2.638315986,1
GELDANAMYCIN,SN-38,NCIH520,22.2826,12.63781916,1
GELDANAMYCIN,SN-38,NCIH23,33.69185,1.716218652,1
GELDANAMYCIN,SN-38,NCIH2122,37.6316,0.995428448,1
GELDANAMYCIN,SN-38,NCIH1650,24.4033,5.076055012,1
GELDANAMYCIN,SN-38,MSTO,27.62985,-6.443313455,1
GELDANAMYCIN,SN-38,MDAMB436,26.9715,9.807675678,1
GELDANAMYCIN,SN-38,LOVO,7.10835,-18.13081596,1
GELDANAMYCIN,SN-38,LNCAP,25.62115,33.95907446,1
GELDANAMYCIN,SN-38,KPL1,20.3553,5.690982481,1
GELDANAMYCIN,SN-38,HT29,42.2217,-3.8519533,1
GELDANAMYCIN,SN-38,HT144,24.25195,5.424321811,1
GELDANAMYCIN,SN-38,HCT116,20.07405,13.69616651,1
GELDANAMYCIN,SN-38,ES2,6.2782,-3.700456762,1
GELDANAMYCIN,SN-38,EFM192B,22.52355,11.28012993,1
GELDANAMYCIN,SN-38,DLD1,23.83975,15.65067775,1
GELDANAMYCIN,SN-38,COLO320DM,1.2738,0.082745899,1
GELDANAMYCIN,SN-38,CAOV3,36.31035,10.41369152,1
GELDANAMYCIN,SN-38,A2780,39.2066,5.306231056,1
GELDANAMYCIN,SN-38,A2058,38.48355,19.01850638,1
GELDANAMYCIN,OXALIPLATIN,ZR751,30.7512,-8.50721665,2
GELDANAMYCIN,OXALIPLATIN,VCAP,5.909,-3.145967729,2
GELDANAMYCIN,OXALIPLATIN,UWB1289,17.3732,-8.772972219,2
GELDANAMYCIN,OXALIPLATIN,T47D,5.8617,-37.34066605,2
GELDANAMYCIN,OXALIPLATIN,SW837,26.48365,-5.951312795,2
GELDANAMYCIN,OXALIPLATIN,SW620,34.455,-13.60640049,2
GELDANAMYCIN,OXALIPLATIN,SKOV3,30.4671,-4.267788402,2
GELDANAMYCIN,OXALIPLATIN,SKMES1,24.671,-2.709265909,2
GELDANAMYCIN,OXALIPLATIN,RPMI7951,39.1662,-9.974522282,2
GELDANAMYCIN,OXALIPLATIN,PA1,28.59285,-40.18357728,2
GELDANAMYCIN,OXALIPLATIN,OV90,35.7138,-11.53351607,2
GELDANAMYCIN,OXALIPLATIN,NCIH520,21.13845,-0.455778707,2
GELDANAMYCIN,OXALIPLATIN,NCIH460,41.24025,-9.523011659,2
GELDANAMYCIN,OXALIPLATIN,NCIH23,36.24525,-15.15007571,2
GELDANAMYCIN,OXALIPLATIN,NCIH2122,38.73135,1.667034011,2
GELDANAMYCIN,OXALIPLATIN,NCIH1650,24.48545,-15.35308599,2
GELDANAMYCIN,OXALIPLATIN,MSTO,36.8599,10.8174392,2
GELDANAMYCIN,OXALIPLATIN,MDAMB436,28.27745,2.066274495,2
GELDANAMYCIN,OXALIPLATIN,LOVO,20.43585,-24.37481524,2
GELDANAMYCIN,OXALIPLATIN,LNCAP,17.28765,-64.20722083,2
GELDANAMYCIN,OXALIPLATIN,KPL1,21.09385,3.401960891,2
GELDANAMYCIN,OXALIPLATIN,HT29,41.3241,-4.167884355,2
GELDANAMYCIN,OXALIPLATIN,HT144,22.3826,-10.33252131,2
GELDANAMYCIN,OXALIPLATIN,HCT116,29.0375,12.35204924,2
GELDANAMYCIN,OXALIPLATIN,ES2,4.74695,-26.81921548,2
GELDANAMYCIN,OXALIPLATIN,EFM192B,26.59505,-19.21107942,2
GELDANAMYCIN,OXALIPLATIN,DLD1,26.497,2.745271228,2
GELDANAMYCIN,OXALIPLATIN,COLO320DM,4.08195,-2.683047865,2
GELDANAMYCIN,OXALIPLATIN,CAOV3,35.01315,-6.419299337,2
GELDANAMYCIN,OXALIPLATIN,A375,19.65145,-8.069874153,2
GELDANAMYCIN,OXALIPLATIN,A2780,42.7061,-4.574264625,2
GELDANAMYCIN,OXALIPLATIN,A2058,37.00945,16.34039127,2
GELDANAMYCIN,MK-8776,ZR751,28.46665,-28.73240892,4
GELDANAMYCIN,MK-8776,VCAP,6.89605,17.51222958,4
GELDANAMYCIN,MK-8776,UWB1289,36.40485,-7.275047774,4
GELDANAMYCIN,MK-8776,UACC62,26.96295,5.926670408,4
GELDANAMYCIN,MK-8776,T47D,0.4781,-34.98235241,4
GELDANAMYCIN,MK-8776,SW837,0,-184.7983901,4
GELDANAMYCIN,MK-8776,SW620,26.31785,-6.888644012,4
GELDANAMYCIN,MK-8776,SKOV3,29.70485,-31.75296787,4
GELDANAMYCIN,MK-8776,SKMES1,37.7618,-23.43171311,4
GELDANAMYCIN,MK-8776,SKMEL30,35.61405,37.16106996,4
GELDANAMYCIN,MK-8776,RPMI7951,40.4238,-4.989611748,4
GELDANAMYCIN,MK-8776,PA1,6.47,7.99798667,4
GELDANAMYCIN,MK-8776,OV90,33.9549,-6.587359461,4
GELDANAMYCIN,MK-8776,NCIH520,21.0295,17.99220848,4
GELDANAMYCIN,MK-8776,NCIH23,36.6285,-11.01680765,4
GELDANAMYCIN,MK-8776,NCIH2122,39.51575,-17.72773735,4
GELDANAMYCIN,MK-8776,NCIH1650,28.83085,-0.880216531,4
GELDANAMYCIN,MK-8776,MSTO,38.05275,-36.80066992,4
GELDANAMYCIN,MK-8776,MDAMB436,29.8867,12.05339011,4
GELDANAMYCIN,MK-8776,LOVO,31.58835,6.963550415,4
GELDANAMYCIN,MK-8776,LNCAP,2.18115,-105.3544017,4
GELDANAMYCIN,MK-8776,KPL1,22.096,-2.26846652,4
GELDANAMYCIN,MK-8776,HT29,38.8458,-3.556540507,4
GELDANAMYCIN,MK-8776,HT144,0,-198.6874066,4
GELDANAMYCIN,MK-8776,ES2,32.31045,3.913910327,4
GELDANAMYCIN,MK-8776,EFM192B,25.5685,-3.435336394,4
GELDANAMYCIN,MK-8776,COLO320DM,14.05095,11.53137428,4
GELDANAMYCIN,MK-8776,CAOV3,38.63585,24.8543465,4
GELDANAMYCIN,MK-8776,A375,22.2103,20.88618832,4
GELDANAMYCIN,MK-8776,A2780,34.6492,9.215273557,4
GELDANAMYCIN,MK-8776,A2058,37.6725,51.41963491,4
GELDANAMYCIN,DINACICLIB,ZR751,30.6486,-19.07458503,2
GELDANAMYCIN,DINACICLIB,UACC62,35.11575,-7.45032494,2
GELDANAMYCIN,DINACICLIB,T47D,10.91935,-39.85034847,2
GELDANAMYCIN,DINACICLIB,SW837,28.1465,-13.89481261,2
GELDANAMYCIN,DINACICLIB,SW620,31.03235,-13.56571062,2
GELDANAMYCIN,DINACICLIB,SKMES1,27.67005,-10.94429024,2
GELDANAMYCIN,DINACICLIB,SKMEL30,32.51355,5.987007426,2
GELDANAMYCIN,DINACICLIB,RPMI7951,41.2315,-11.41869766,2
GELDANAMYCIN,DINACICLIB,RKO,38.27955,9.903581622,2
GELDANAMYCIN,DINACICLIB,OVCAR3,26.94035,-25.42782364,2
GELDANAMYCIN,DINACICLIB,OV90,36.4821,-9.089980403,2
GELDANAMYCIN,DINACICLIB,NCIH460,38.915,2.805237819,2
GELDANAMYCIN,DINACICLIB,NCIH23,38.0514,-12.48833358,2
GELDANAMYCIN,DINACICLIB,NCIH2122,41.7737,2.20219065,2
GELDANAMYCIN,DINACICLIB,NCIH1650,30.7979,-23.08653485,2
GELDANAMYCIN,DINACICLIB,MSTO,20.70335,-22.90589188,2
GELDANAMYCIN,DINACICLIB,KPL1,32.97235,2.606780695,2
GELDANAMYCIN,DINACICLIB,HT29,44.0715,-3.265971374,2
GELDANAMYCIN,DINACICLIB,HCT116,38.94205,4.699154363,2
GELDANAMYCIN,DINACICLIB,EFM192B,31.0292,4.87112139,2
GELDANAMYCIN,DINACICLIB,DLD1,31.58815,7.151741811,2
GELDANAMYCIN,DINACICLIB,COLO320DM,14.2704,10.09592416,2
GELDANAMYCIN,DINACICLIB,CAOV3,38.8976,1.001575852,2
GELDANAMYCIN,DINACICLIB,A427,43.25455,3.182953622,2
GELDANAMYCIN,DINACICLIB,A375,38.4434,22.05450091,2
GELDANAMYCIN,DINACICLIB,A2058,38.6031,5.96787578,2
GELDANAMYCIN,BEZ-235,ZR751,37.1567,8.741861178,2
GELDANAMYCIN,BEZ-235,VCAP,17.4995,28.05066048,2
GELDANAMYCIN,BEZ-235,UWB1289,22.70825,9.610278753,2
GELDANAMYCIN,BEZ-235,UACC62,39.7059,29.76025464,2
GELDANAMYCIN,BEZ-235,T47D,21.57795,155.3899654,2
GELDANAMYCIN,BEZ-235,SW837,30.92745,15.5753498,2
GELDANAMYCIN,BEZ-235,SW620,38.1533,1.696231889,2
GELDANAMYCIN,BEZ-235,SKOV3,35.0919,-1.111587344,2
GELDANAMYCIN,BEZ-235,SKMES1,40.68215,45.63680144,2
GELDANAMYCIN,BEZ-235,SKMEL30,32.2379,48.27593907,2
GELDANAMYCIN,BEZ-235,RPMI7951,40.56385,-3.235888021,2
GELDANAMYCIN,BEZ-235,RKO,33.49945,20.10584985,2
GELDANAMYCIN,BEZ-235,PA1,20.2623,26.19486728,2
GELDANAMYCIN,BEZ-235,OV90,39.59845,16.2558353,2
GELDANAMYCIN,BEZ-235,NCIH520,33.0684,9.402356496,2
GELDANAMYCIN,BEZ-235,NCIH460,41.1219,34.03656802,2
GELDANAMYCIN,BEZ-235,NCIH23,37.8475,2.728926654,2
GELDANAMYCIN,BEZ-235,NCIH2122,40.04295,3.243695175,2
GELDANAMYCIN,BEZ-235,NCIH1650,29.3202,4.930824097,2
GELDANAMYCIN,BEZ-235,MDAMB436,27.65545,23.29901802,2
GELDANAMYCIN,BEZ-235,LOVO,33.7286,14.32727111,2
GELDANAMYCIN,BEZ-235,LNCAP,36.38145,107.6222417,2
GELDANAMYCIN,BEZ-235,KPL1,29.6289,8.923062787,2
GELDANAMYCIN,BEZ-235,HT29,42.6986,13.70606034,2
GELDANAMYCIN,BEZ-235,HT144,39.05215,45.48122797,2
GELDANAMYCIN,BEZ-235,HCT116,27.75955,35.76379658,2
GELDANAMYCIN,BEZ-235,EFM192B,28.662,-0.044183027,2
GELDANAMYCIN,BEZ-235,DLD1,32.80915,24.26631043,2
GELDANAMYCIN,BEZ-235,COLO320DM,27.96825,30.65561173,2
GELDANAMYCIN,BEZ-235,CAOV3,33.9249,25.67518873,2
GELDANAMYCIN,BEZ-235,A375,33.8293,20.65600784,2
GELDANAMYCIN,BEZ-235,A2780,42.12135,14.86658789,2
GELDANAMYCIN,BEZ-235,A2058,38.77305,34.57333585,2
ZOLINZA,GELDANAMYCIN,ZR751,32.2416,-22.21608303,2
ZOLINZA,GELDANAMYCIN,VCAP,18.09835,24.71210503,2
ZOLINZA,GELDANAMYCIN,UACC62,28.7102,-31.26054794,2
ZOLINZA,GELDANAMYCIN,T47D,6.19845,-1.006320257,2
ZOLINZA,GELDANAMYCIN,SW837,25.86045,-9.904677004,2
ZOLINZA,GELDANAMYCIN,SKOV3,32.87565,-3.746093736,2
ZOLINZA,GELDANAMYCIN,SKMES1,20.4947,-28.6774809,2
ZOLINZA,GELDANAMYCIN,SKMEL30,19.8852,-10.25733493,2
ZOLINZA,GELDANAMYCIN,RPMI7951,34.51925,-18.77077469,2
ZOLINZA,GELDANAMYCIN,OV90,33.6453,-5.855379145,2
ZOLINZA,GELDANAMYCIN,NCIH23,28.46645,-47.95872443,2
ZOLINZA,GELDANAMYCIN,NCIH2122,37.31705,-14.34758418,2
ZOLINZA,GELDANAMYCIN,NCIH1650,24.23715,-18.86420507,2
ZOLINZA,GELDANAMYCIN,MSTO,33.87505,12.05623999,2
ZOLINZA,GELDANAMYCIN,MDAMB436,26.1795,16.03504454,2
ZOLINZA,GELDANAMYCIN,LOVO,23.92955,-7.712031573,2
ZOLINZA,GELDANAMYCIN,LNCAP,30.10185,39.88891584,2
ZOLINZA,GELDANAMYCIN,KPL1,24.80465,0.482233924,2
ZOLINZA,GELDANAMYCIN,HT29,43.32795,-3.157043827,2
ZOLINZA,GELDANAMYCIN,HCT116,26.24145,-15.94115582,2
ZOLINZA,GELDANAMYCIN,ES2,19.4187,6.191317045,2
ZOLINZA,GELDANAMYCIN,EFM192B,23.2576,-13.80098862,2
ZOLINZA,GELDANAMYCIN,DLD1,26.50975,3.140346795,2
ZOLINZA,GELDANAMYCIN,A375,7.45385,-33.85550091,2
ZOLINZA,GELDANAMYCIN,A2780,29.46195,-22.46508824,2
ZOLINZA,GELDANAMYCIN,A2058,31.86925,-6.835504808,2
ZOLINZA,TOPOTECAN,ZR751,26.3303,12.22379109,2
ZOLINZA,TOPOTECAN,VCAP,27.149,23.43854705,2
ZOLINZA,TOPOTECAN,UWB1289,41.1857,12.19031631,2
ZOLINZA,TOPOTECAN,UACC62,36.5634,10.22306639,2
ZOLINZA,TOPOTECAN,T47D,34.67895,18.98510046,2
ZOLINZA,TOPOTECAN,SW837,30.13565,3.986551406,2
ZOLINZA,TOPOTECAN,SW620,38.1607,1.950611728,2
ZOLINZA,TOPOTECAN,SKOV3,39.2255,26.97432821,2
ZOLINZA,TOPOTECAN,SKMEL30,26.43635,-0.999305207,2
ZOLINZA,TOPOTECAN,RPMI7951,42.711,3.34457105,2
ZOLINZA,TOPOTECAN,RKO,25.8824,0.178565488,2
ZOLINZA,TOPOTECAN,PA1,43.05345,-8.139632509,2
ZOLINZA,TOPOTECAN,OVCAR3,29.54585,-1.053790801,2
ZOLINZA,TOPOTECAN,OV90,32.1156,15.22568084,2
ZOLINZA,TOPOTECAN,NCIH520,33.7952,12.22140413,2
ZOLINZA,TOPOTECAN,NCIH460,36.64205,-10.91565088,2
ZOLINZA,TOPOTECAN,NCIH23,32.2981,-1.034920474,2
ZOLINZA,TOPOTECAN,NCIH2122,39.27305,22.95559562,2
ZOLINZA,TOPOTECAN,NCIH1650,17.7615,-8.786850695,2
ZOLINZA,TOPOTECAN,MSTO,43.3596,20.38389268,2
ZOLINZA,TOPOTECAN,MDAMB436,31.49165,9.722255345,2
ZOLINZA,TOPOTECAN,LOVO,36.58765,7.674413562,2
ZOLINZA,TOPOTECAN,LNCAP,0,-135.363072,2
ZOLINZA,TOPOTECAN,KPL1,20.7556,12.82860371,2
ZOLINZA,TOPOTECAN,HT29,38.52365,5.611372388,2
ZOLINZA,TOPOTECAN,HT144,25.5697,9.121469737,2
ZOLINZA,TOPOTECAN,HCT116,29.54055,-6.478407822,2
ZOLINZA,TOPOTECAN,ES2,42.6923,8.421511658,2
ZOLINZA,TOPOTECAN,EFM192B,31.8106,6.457405081,2
ZOLINZA,TOPOTECAN,DLD1,32.2431,3.942277372,2
ZOLINZA,TOPOTECAN,CAOV3,35.1897,0.184994417,2
ZOLINZA,TOPOTECAN,A427,39.0455,1.831931486,2
ZOLINZA,TOPOTECAN,A375,41.31075,12.44467563,2
ZOLINZA,TOPOTECAN,A2780,42.044,0.245565715,2
ZOLINZA,TOPOTECAN,A2058,38.96375,0.788668149,2
ZOLINZA,TEMOZOLOMIDE,ZR751,9.75315,-9.474624791,2
ZOLINZA,TEMOZOLOMIDE,VCAP,15.3988,18.64303801,2
ZOLINZA,TEMOZOLOMIDE,UWB1289,20.87935,22.89993834,2
ZOLINZA,TEMOZOLOMIDE,T47D,7.7581,13.2536474,2
ZOLINZA,TEMOZOLOMIDE,SW837,14.31495,10.93477088,2
ZOLINZA,TEMOZOLOMIDE,SW620,29.53935,2.065789368,2
ZOLINZA,TEMOZOLOMIDE,SKOV3,4.01145,0.347644451,2
ZOLINZA,TEMOZOLOMIDE,SKMES1,13.95265,31.40521002,2
ZOLINZA,TEMOZOLOMIDE,SKMEL30,18.18315,21.92972634,2
ZOLINZA,TEMOZOLOMIDE,RPMI7951,20.9417,17.07267451,2
ZOLINZA,TEMOZOLOMIDE,RKO,11.8706,7.600358529,2
ZOLINZA,TEMOZOLOMIDE,OV90,5.2638,12.82470902,2
ZOLINZA,TEMOZOLOMIDE,NCIH520,16.7773,5.836164599,2
ZOLINZA,TEMOZOLOMIDE,NCIH460,7.8206,5.202915107,2
ZOLINZA,TEMOZOLOMIDE,NCIH23,12.9247,-24.59726946,2
ZOLINZA,TEMOZOLOMIDE,NCIH2122,23.3877,-2.365049635,2
ZOLINZA,TEMOZOLOMIDE,NCIH1650,2.37225,-8.969450934,2
ZOLINZA,TEMOZOLOMIDE,MSTO,39.69205,31.18208682,2
ZOLINZA,TEMOZOLOMIDE,MDAMB436,14.7656,13.95984956,2
ZOLINZA,TEMOZOLOMIDE,LNCAP,24.63575,50.72094312,2
ZOLINZA,TEMOZOLOMIDE,KPL1,3.99315,-8.289813957,2
ZOLINZA,TEMOZOLOMIDE,HT144,13.0382,8.154591916,2
ZOLINZA,TEMOZOLOMIDE,HCT116,17.2602,-5.951822715,2
ZOLINZA,TEMOZOLOMIDE,ES2,31.99825,30.76330289,2
ZOLINZA,TEMOZOLOMIDE,EFM192B,9.31335,5.007421473,2
ZOLINZA,TEMOZOLOMIDE,DLD1,8.4623,8.795100631,2
ZOLINZA,TEMOZOLOMIDE,COLO320DM,29.5527,18.00188714,2
ZOLINZA,TEMOZOLOMIDE,CAOV3,9.05865,-5.586464398,2
ZOLINZA,TEMOZOLOMIDE,A427,28.41345,-9.067057,2
ZOLINZA,TEMOZOLOMIDE,A375,8.1843,6.520275934,2
ZOLINZA,TEMOZOLOMIDE,A2780,16.8976,9.206229451,2
ZOLINZA,TEMOZOLOMIDE,A2058,30.9457,24.53982781,2
ZOLINZA,SUNITINIB,ZR751,10.97415,-10.47545237,3
ZOLINZA,SUNITINIB,VCAP,17.59205,4.680162224,3
ZOLINZA,SUNITINIB,UWB1289,24.34065,13.61029703,3
ZOLINZA,SUNITINIB,UACC62,21.94565,-1.990677506,3
ZOLINZA,SUNITINIB,T47D,20.966,28.43824494,3
ZOLINZA,SUNITINIB,SW837,20.4191,-13.42316359,3
ZOLINZA,SUNITINIB,SW620,29.42315,-12.80503568,3
ZOLINZA,SUNITINIB,SKOV3,24.4831,-4.376951677,3
ZOLINZA,SUNITINIB,SKMES1,20.57905,-4.08567634,3
ZOLINZA,SUNITINIB,SKMEL30,20.36055,-7.285718785,3
ZOLINZA,SUNITINIB,RPMI7951,12.4989,-11.93879823,3
ZOLINZA,SUNITINIB,RKO,24.33645,-4.420136286,3
ZOLINZA,SUNITINIB,PA1,35.41145,-7.74008825,3
ZOLINZA,SUNITINIB,OVCAR3,8.3943,7.425720245,3
ZOLINZA,SUNITINIB,OV90,6.15325,7.024292375,3
ZOLINZA,SUNITINIB,NCIH460,8.60925,-1.204786513,3
ZOLINZA,SUNITINIB,NCIH23,24.16755,-16.71952386,3
ZOLINZA,SUNITINIB,NCIH2122,29.30985,1.404458307,3
ZOLINZA,SUNITINIB,NCIH1650,10.6701,-6.88100755,3
ZOLINZA,SUNITINIB,MDAMB436,17.08185,1.275926084,3
ZOLINZA,SUNITINIB,LOVO,37.9286,1.117749047,3
ZOLINZA,SUNITINIB,LNCAP,19.12115,-11.66352115,3
ZOLINZA,SUNITINIB,KPL1,29.4244,10.28900796,3
ZOLINZA,SUNITINIB,HT29,33.52965,-0.536953482,3
ZOLINZA,SUNITINIB,HT144,14.32815,-10.84233331,3
ZOLINZA,SUNITINIB,HCT116,40.1776,5.053965686,3
ZOLINZA,SUNITINIB,ES2,25.8266,7.311601814,3
ZOLINZA,SUNITINIB,EFM192B,10.3808,-6.25620828,3
ZOLINZA,SUNITINIB,DLD1,18.91685,4.803515424,3
ZOLINZA,SUNITINIB,CAOV3,21.99135,1.278834628,3
ZOLINZA,SUNITINIB,A427,25.1873,-25.06988639,3
ZOLINZA,SUNITINIB,A375,18.92845,0.535493813,3
ZOLINZA,SUNITINIB,A2780,26.78885,-7.622511758,3
ZOLINZA,SUNITINIB,A2058,29.2257,-8.966085352,3
ZOLINZA,SORAFENIB,ZR751,26.0776,-34.19167302,0
ZOLINZA,SORAFENIB,VCAP,22.817,-6.252657443,0
ZOLINZA,SORAFENIB,UWB1289,37.46225,6.365617903,0
ZOLINZA,SORAFENIB,UACC62,33.6998,-8.92980681,0
ZOLINZA,SORAFENIB,T47D,23.416,1.292860775,0
ZOLINZA,SORAFENIB,SW837,33.41685,-4.327009751,0
ZOLINZA,SORAFENIB,SW620,32.46015,-13.26297526,0
ZOLINZA,SORAFENIB,SKOV3,28.37245,-1.765825452,0
ZOLINZA,SORAFENIB,SKMES1,21.6703,1.620529841,0
ZOLINZA,SORAFENIB,SKMEL30,32.82445,-0.886914749,0
ZOLINZA,SORAFENIB,RPMI7951,23.1612,-14.2526387,0
ZOLINZA,SORAFENIB,RKO,31.1505,5.17723835,0
ZOLINZA,SORAFENIB,PA1,40.52685,-5.790126103,0
ZOLINZA,SORAFENIB,OVCAR3,10.70135,-13.10440865,0
ZOLINZA,SORAFENIB,OV90,28.7386,-0.279894014,0
ZOLINZA,SORAFENIB,NCIH460,32.2261,3.897897333,0
ZOLINZA,SORAFENIB,NCIH2122,34.6261,-6.261779768,0
ZOLINZA,SORAFENIB,MSTO,37.3186,-3.859836423,0
ZOLINZA,SORAFENIB,MDAMB436,22.75215,-3.807807713,0
ZOLINZA,SORAFENIB,LOVO,34.99675,-18.07968202,0
ZOLINZA,SORAFENIB,LNCAP,34.2792,-3.172312438,0
ZOLINZA,SORAFENIB,KPL1,30.728,-5.159422536,0
ZOLINZA,SORAFENIB,HT29,31.9723,-10.42626297,0
ZOLINZA,SORAFENIB,HT144,33.2603,-8.564026616,0
ZOLINZA,SORAFENIB,HCT116,39.03655,0.575015134,0
ZOLINZA,SORAFENIB,ES2,31.32655,-6.896772834,0
ZOLINZA,SORAFENIB,EFM192B,20.7718,-6.898153537,0
ZOLINZA,SORAFENIB,DLD1,30.81245,2.687802267,0
ZOLINZA,SORAFENIB,CAOV3,27.15025,7.235262385,0
ZOLINZA,SORAFENIB,A427,33.49445,-8.003764443,0
ZOLINZA,SORAFENIB,A2780,35.19115,-8.574749698,0
ZOLINZA,SORAFENIB,A2058,29.07605,-5.582687009,0
ZOLINZA,SN-38,ZR751,16.809,0.49049816,0
ZOLINZA,SN-38,VCAP,18.8499,29.04666653,0
ZOLINZA,SN-38,UWB1289,29.3958,10.68141981,0
ZOLINZA,SN-38,UACC62,25.9532,4.702802475,0
